prenom,genre,signification,origine
EMINA,f,form of AMINAH  (2).,[Bosnian]
EMİR,m,form of AMIR  (1).,[Turkish]
EMIRA,f,form of AMIRAH.,[Bosnian]
EMLYN,m,"from the name of an ancient region in Wales, its name meaning ""around the valley"". It has also been suggested that this name is a Welsh form of Aemilianus (see EMILIANO).",[Welsh]
EMMALINE,f,Variant of EMMELINE.,[English]
EMMANOUEL,m,Form of IMMANUEL used in the Greek Bible.,[Biblical Greek]
EMMANUEL,m,"From the Hebrew name עִמָּנוּאֵל ('Immanu'el) meaning ""God is with us"". This was the foretold name of the Messiah in the Old Testament. It has been used in England since the 16th century in the spellings Emmanuel and Immanuel, though it has not been widespread. The name has been more common in continental Europe, especially in Spain and Portugal (in the spellings Manuel and Manoel).","[Biblical, French, English]"
EMMANUHEL,m,Form of IMMANUEL used in the Latin Bible.,[Biblical Latin]
EMMERICH,m,"EMMERICH   m   German, Ancient GermanicGermanic name, in which the second element is ric meaning ""power"". The first element may be ermen ""whole, universal"" (making it a relative of Ermenrich), amal ""work, labour"" (making it a relative of Amalric) or heim ""home"" (making it a relative of Henry). It is likely that several forms merged into a single name.","[German, Ancient Germanic]"
EMMET,m,Variant of EMMETT. It is used in Ireland in honour of the nationalist and rebel Robert Emmet (1778-1803).,[English]
EMMI,f,Short form of names beginning with em.,[Finnish]
EMMY,f,"EMMY   f   English, DutchDiminutive of EMMA or EMILY.","[English, Dutch]"
EMPERATRIZ,f,"Means ""empress"" in Spanish.",[Spanish]
EMRYS,m,"form of AMBROSE. Emrys Wledig (or Ambrosius Aurelianus) was a Romano-British military leader who fought against the invading Anglo-Saxons in the 5th century. Tales of his life were used by the 12th-century chronicler Geoffrey of Monmouth to create the character of Merlin, who he called Merlinus Ambrosius or Myrddin Emrys.",[Welsh]
EMYR,m,"Means ""king"" in Welsh.",[Welsh]
ENA  (2), (2),Short form of IRENA.,[Croatian]
ENCARNACIÓN,f,"Means ""incarnation"" in Spanish. This is given in reference to the Incarnation of Jesus in the womb of the Virgin Mary.",[Spanish]
ENDA,m,Anglicized form of ÉNNA.,[Irish]
ENDIKA,m,form of HENRY.,[Basque]
ENDRE  (2), (2),short form of EINDRIDE.,[Norwegian]
ENDZELA,f,"Means ""snowdrop flower"" in Georgian (genus Galanthus).",[Georgian]
ENEIDA,f,From the Portuguese and Spanish name of the 'Aeneid' (see AENEAS).,"[Portuguese (Brazilian), Spanish (Latin American)]"
ENEKO,m,"derived from Basque ene ""my"" and ko, a diminutive suffix. This was the name of the first king of Pamplona or Navarre (9th century), whose name is usually rendered as Íñigo.",[Basque]
ENFYS,m,"Means ""rainbow"" in Welsh.",[Welsh]
ENGELBERT,m,"ENGELBERT   m   German, Ancient GermanicGermanic name composed of the elements Angil, the name of a Germanic tribe known in English as the Angles, and beraht ""bright"". Saint Engelbert was a 13th-century archbishop of Cologne murdered by assassins.","[German, Ancient Germanic]"
ENGİN,m,"Means ""vast"" in Turkish.",[Turkish]
ENID,f,"Derived from Welsh enaid meaning ""soul"" or ""life"". She is the wife of Geraint in Welsh legend and Arthurian romance.","[Welsh, Welsh Mythology, Arthurian Romance]"
ENIOLA,f,"Means ""person of wealth"" in Yoruba.","[Western African, Yoruba]"
ENIS,m,form of ANIS.,[Bosnian]
ENİSE,f,feminine form of ANIS.,[Turkish]
ENKHJARGAL,f,"Means ""peace blessing"" in Mongolian.",[Mongolian]
ENKI,m,"Derived from Sumerian en-ki ""lord of the earth"" (though maybe originally from en-kur ""lord of the underworld""). Enki, called Ea by the Babylonians, was the Sumerian god of water and wisdom and the keeper of the Me, the divine laws.",[Near Eastern Mythology]
ÉNNA,m,"means ""bird-like"" in Irish. This was the name of several Irish kings and heroes. It was also borne by a 6th-century saint who built the monastery of Killeany.",[Irish]
ENNIO,m,form of the Roman family name Ennius which is of unknown meaning. Quintus Ennius was an early Roman poet.,[Italian]
ENNIS,f,From the name of a town in Ireland.,[Irish]
ENOBARBUS,m,Form of AHENOBARBUS used by Shakespeare in his play 'Antony and Cleopatra' (1606).,[Literature]
ENOK,m,form of ENOCH.,"[Swedish, Norwegian, Danish]"
ENOS,m,Form of ENOSH used in many versions of the Old Testament.,"[Biblical, Biblical Latin, Biblical Greek]"
ENRIC,m,form of HENRY.,[Catalan]
ENRICO,m,form of HENRY. Enrico Fermi (1901-1954) was an Italian physicist who did work on the development of the nuclear bomb.,[Italian]
ENSIO,m,"Derived from Finnish ensi ""first"".",[Finnish]
ENVER,m,form of ANWAR.,"[Turkish, Bosnian]"
ENYINNAYA,m,"Means ""his father's friend"" in Igbo.","[Western African, Igbo]"
ENZO,m,"form of HEINZ, though in other cases it could be a variant of the Germanic name ANZO. In modern times it is also used as a short form of names ending in enzo, such as VINCENZO or LORENZO.","[Italian, French]"
EOFORWINE,m,"Derived from the Old English elements eofor ""boar"" and wine ""friend"". This name was rarely used after the Norman conquest.",[Anglo-Saxon]
EOGHAN,m,"means ""born from the yew tree"" in Irish, though it is possibly derived from EUGENE. It was borne by several legendary or semi-legendary Irish figures, including a son of Niall of the Nine Hostages.","[Irish, Scottish, Irish Mythology]"
EOS,f,"Means ""dawn"" in Greek. This was the name of the Greek goddess of the dawn.",[Greek Mythology]
EPAPHRAS,m,"Derived from Greek επαφρος (epaphros) meaning ""foamy"". In the New Testament this is the name of one of Paul's co-workers.","[Biblical, Ancient Greek, Biblical Greek, Biblical Latin]"
EPHESIUS,m,form of EFISIO.,[Late Roman]
EPHRATH,f,"Means ""fruitful place"" in Hebrew. In the Old Testament this name was borne by one of the wives of Caleb. Also in the Bible, it is the name of the place where Rachel was buried.","[Biblical, Biblical Latin, Biblical Greek]"
EPIKTETOS,m,"EPIKTETOS   m   Ancient GreekAncient Greek name meaning ""newly acquired"". This was the name of a 1st-century Greek stoic philosopher.",[Ancient Greek]
EPIPHANES,m,"Means ""appearing, manifesting"" in Greek. This was an epithet of two 2nd-century BC Hellenistic rulers: the Seleucid king Antiochus IV and the Ptolemaic king Ptolemy V.",[Ancient Greek]
EPIPHANIUS,m,form of Epiphanios (see EPIFANIO).,[Ancient Greek (Latinized)]
EPONA,f,"Derived from Gaulish epos meaning ""horse"". This was the name of the Celtic goddess of horses.",[Celtic Mythology]
EPPIE,f,EPPIE   f   English (Archaic)Diminutive of EUPHEMIA or HEPHZIBAH.,[English (Archaic)]
ERAN,m,"Means ""watchful, vigilant"" in Hebrew. In the Old Testament he is a grandson of Ephraim.",[Biblical]
ERASMOS,m,form of ERASMUS.,[Ancient Greek]
ERASTOS,m,form of ERASTUS.,"[Biblical Greek, Ancient Greek]"
ERASYL,m,"Means ""noble hero"" in Kazakh.",[Kazakh]
ERAZEM,m,form of ERASMUS.,[Slovene]
ERCANBALD,m,form of ARCHIBALD.,[Ancient Germanic]
ERCOLE,m,form of HERCULES.,[Italian]
ERDEM,m,"Means ""virtue"" in Turkish.",[Turkish]
ERDMANN,m,"Variant of HARTMANN. It can also be interpreted as meaning ""earth man"" from German Erde ""earth"", and thus was sometimes used as a translation of Adam.",[German]
EREBOS,m,form of EREBUS.,[Greek Mythology]
EREKLE,m,form of Herakleios (see HERACLIUS). This name was borne by two Georgian kings of the Bagrationi dynasty.,[Georgian]
ERESHKIGAL,f,"Means ""lady of the great earth"" in Sumerian. In Sumerian and Babylonian mythology she was the violent goddess of death and the underworld.",[Near Eastern Mythology]
ERFAN,m,form of IRFAN.,[Persian]
ERHARD,m,"Derived from the Germanic element era ""honour, respect"" or hari ""army"" combined with hard ""brave, hardy"". In some cases it may be a variant of EBERHARD.","[German, Ancient Germanic]"
ÈRIC,m,form of ERIC.,[Catalan]
ÉRICA,f,form of ERICA.,[Portuguese]
ERICH,m,form of ERIC. The German novelist Erich Maria Remarque (1898-1970) was the author of 'All Quiet on the Western Front'.,[German]
ERICKA,f,Variant of ERICA.,[English]
ERIK,m,"form of ERIC. This was the name of kings of Sweden, Denmark and Norway. King Erik IX of Sweden (12th century) is the patron saint of that country.","[Swedish, Norwegian, Danish, Finnish, Czech, Slovak, Slovene, Croatian, Hungarian, German, Dutch, English]"
ERIKAS,m,form of ERIC.,[Lithuanian]
ERIS,f,"Means ""strife"" in Greek. In Greek mythology Eris was the goddess of discord. She was the sister and companion of Ares.",[Greek Mythology]
ERJA,f,Variant of IRJA.,[Finnish]
ERKİN,m,"Means ""free"" in Turkish.",[Turkish]
ERKKI,m,form of ERIC.,[Finnish]
ERLANTZ,m,"Means ""glow, shine"" in Basque.",[Basque]
ERLE  (2), (2),Variant of EARL.,[English]
ERLEND,m,Variant of ERLAND.,"[Norwegian, Danish]"
ERLENDUR,m,form of ERLAND.,[Icelandic]
ERLINGR,m,form of ERLING.,[Ancient Scandinavian]
ERMA,f,"Variant of IRMA. It began to be used in the English-speaking world in the 19th century, along with Irma.",[English]
ERMELINDA,f,"Derived from the Germanic elements ermen ""whole, universal"" and linde ""soft, tender"".",[Italian]
ERMENEGILDA,f,Feminine form of ERMENEGILDO.,[Italian (Rare)]
ERMENRICH,m,"From the Germanic elements ermen ""whole, universal"" and ric ""power"". Ermenrich (also often called Ermanaric) was a 4th-century Gothic king.",[Ancient Germanic]
ERMES,m,form of HERMES.,[Italian]
ERMINGARD,f,form of IRMINGARD.,[Ancient Germanic]
ERMINIA,f,feminine form of HERMINIUS.,[Italian]
ERMINIO,m,form of HERMINIUS.,[Italian]
ERMINTRUDE,f,form of ERMENDRUD. It was occasionally used until the 19th century.,[English (Archaic)]
ERMO,m,ERMO   m   Medieval ItalianItalian diminutive of ERASMUS.,[Medieval Italian]
ERN,m,Short form of ERNEST.,[English]
ERNA  (2), (2),"Means ""brisk, vigourous, hale"" in Old Norse. This was the name of the wife of Jarl in Norse legend.","[Norse Mythology, Icelandic, Danish, Norwegian, Swedish]"
ERNESTA,f,Feminine form of ERNEST.,"[Italian, Lithuanian]"
ERNESTINA,f,feminine form of ERNEST.,[Italian]
ERNESTO,m,form of ERNEST.,"[Italian, Spanish, Portuguese]"
ERNO,m,form of ERNEST.,[Finnish]
ERNST,m,form of ERNEST.,"[German, Dutch, Danish, Norwegian, Swedish]"
EROL,m,"Means ""brave"" in Turkish.",[Turkish]
ERRAMUN,m,form of RAYMOND.,[Basque]
ERSILIA,f,form of HERSILIA.,[Italian]
ERVIN,m,form of ERWIN.,"[Hungarian, Croatian]"
ERWAN,m,form of IVO  (1) or YVES.,[Breton]
ERWIN,m,"Derived from the Germanic name Hariwini, composed of the elements hari ""army"" and win ""friend"". It may have merged somewhat with the Germanic name EBURWIN. A notable bearer was Erwin Schrodinger (1887-1961), an Austrian physicist who made contributions to quantum theory.","[German, Dutch, Ancient Germanic]"
ERYKAH,f,Variant of ERICA.,[English (Modern)]
ERZSÉBET,f,"form of ELIZABETH. This is the native name of Saint Elizabeth of Hungary. It was also borne by the infamous Erzsébet Báthory, a 16th-century countess and murderer.",[Hungarian]
ESA,m,form of ISAIAH.,[Finnish]
ESAU,m,"From the Hebrew name עֵשָׂו ('Esaw) which possibly meant ""hairy"". In the Old Testament Esau is the elder of the twin sons of Isaac and Rebecca. Once when he was very hungry he sold his birthright to his twin Jacob for a bowl of stew. Later Jacob disguised himself as Esau and received the elder son's blessing from the blind Isaac. Esau was the ancestor of the Edomites.","[Biblical, Biblical Latin, Biblical Greek]"
ESBEN,m,Variant of ASBJØRN.,"[Danish, Norwegian]"
ESDRAS,m,form of EZRA. This spelling is used in parts of the Old Testament Apocrypha.,"[Biblical, Biblical Greek]"
ESELD,f,form of ISOLDE.,[Cornish]
ESEOGHENE,m,"Means ""God's gift"" in Urhobo.","[Western African, Urhobo]"
ESFIR,f,form of ESTHER.,[Russian]
ESHE,f,Variant of ASHA  (2).,"[Eastern African, Swahili]"
ESİN,f,"Means ""inspiration"" in Turkish.",[Turkish]
ESKARNE,f,"Means ""mercy"" in Basque. It is a Basque equivalent of Mercedes.",[Basque]
ESMAIL,m,form of ISHMAEL. It is also a variant transcription of Arabic ISMA'IL.,"[Persian, Arabic]"
ESME,m,Variant of ESMÉ.,[English]
ESMÉE,f,Feminine form of ESMÉ.,"[English, Dutch]"
ESMOND,m,"Derived from the Old English elements east ""grace"" and mund ""protection"". This Old English name was rarely used after the Norman conquest. It was occasionally revived in the 19th century.",[English (Rare)]
ESPEN,m,Variant of ASBJØRN.,"[Norwegian, Danish]"
ESPERANZA,f,"form of the Late Latin name Sperantia which was derived from sperare ""to hope"".",[Spanish]
ESRA,f,form of ASRA.,[Turkish]
ESSENCE,f,"From the English word essence which means either ""odour, scent"" or else ""fundamental quality"". Ultimately it derives from Latin esse ""to be"".",[English (Modern)]
ESSIE,f,ESSIE   f   EnglishDiminutive of ESTELLE or ESTHER.,[English]
ESTAVAN,m,form of STEPHEN.,[Spanish]
ESTEBE,m,form of STEPHEN.,[Basque]
ESTEFÂNIA,f,feminine form of STEPHEN.,[Portuguese]
ESTELA,f,form of ESTELLE.,"[Portuguese, Spanish]"
ESTELLE,f,"From an Old French name which was derived from Latin stella, meaning ""star"". It was rare in the English-speaking world in the Middle Ages, but it was revived in the 19th century, perhaps due to the character Estella Havisham in Charles Dickens' novel 'Great Expectations' (1860).","[English, French]"
ESTER,f,"ESTER   f   Spanish, Portuguese, Italian, Czech, Swedish, Norwegian, Danish, Icelandic, FinnishCognate of ESTHER.","[Spanish, Portuguese, Italian, Czech, Swedish, Norwegian, Danish, Icelandic, Finnish]"
ESTERI,f,form of ESTHER.,[Finnish]
ESTÈVE,m,form of STEPHEN.,[Occitan]
ESTEVO,m,form of STEPHEN.,[Galician]
ESTHIRU,f,form of ESTHER.,[Old Church Slavic]
ESTIENNE,m,form of STEPHEN.,[Medieval French]
ESTRELLA,f,"form of STELLA  (1), coinciding with the Spanish word meaning ""star"".",[Spanish]
ESZTER,f,form of ESTHER.,[Hungarian]
ÉTAÍN,f,"derived from Old Irish ét ""jealousy"". In Irish mythology she was a sun and horse goddess who was the lover of Midir.","[Irish, Irish Mythology]"
ETELE,m,form of ETZEL.,[Hungarian (Rare)]
ETELVINA,f,feminine form of ADALWIN.,[Spanish]
ETHAN,m,"From the Hebrew name אֵיתָן ('Eitan) meaning ""solid, enduring, firm"". In the Old Testament this name is borne by a few minor characters, including the wise man Ethan the Ezrahite, supposedly the author of Psalm 89.... [more]","[English, French, Biblical, Biblical Latin]"
ETHELBERT,m,"form of ÆÐELBERHT. The name was very rare after the Norman conquest, but it was revived briefly in the 19th century.",[English]
ETHELDREDA,f,form of ÆÐELÞRYÐ.,[Medieval English]
ETHELRED,m,"form of ÆÐELRÆD. The name was very rare after the Norman conquest, but it was revived briefly in the 19th century.",[English (Archaic)]
ETHNA,f,Anglicized form of EITHNE.,[Irish]
ÉTIENNE,m,form of STEPHEN.,[French]
ETNA,f,Anglicized form of EITHNE.,[Irish]
ETTA,f,"Short form of HENRIETTA and other names that end with etta. A famous bearer was the American singer Etta James (1938-2012), who took her stage name from her real given name Jamesetta.",[English]
ETTORE,m,form of HECTOR.,[Italian]
EUA,f,Form of Chawwah (see EVE) used in the Greek translation of Old Testament. Chawwah is also translated as Zoe in the Greek Old Testament.,[Biblical Greek]
EUAN,m,Anglicized form of EOGHAN.,[Scottish]
EUANTHE,f,"Derived from Greek ευανθης (euanthes) meaning ""blooming, flowery"", a derivative of ευ (eu) ""good"" and ανθος (anthos) ""flower"". According to some sources, this was the name of the mother of the three Graces or Χαριτες (Charites) in Greek mythology.","[Ancient Greek, Greek Mythology]"
EUCLID,m,"From the Greek name Ευκλειδης (Eukleides), derived from Greek ευ (eu) ""good"" and κλεος (kleos) ""glory"" with the patronymic suffix ιδης (ides). This was the name of a 3rd-century BC Greek mathematician from Alexandria who made numerous contributions to geometry.",[Ancient Greek (Anglicized)]
EUDOCIA,f,"form of the Greek name Ευδοκια (Eudokia), derived from the word ευδοκεω (eudokeo) meaning ""to be well pleased, to be satisfied"", itself derived from ευ (eu) ""good"" and δοκεω (dokeo) ""to think, to imagine, to suppose"".",[Ancient Greek (Latinized)]
EUDORA,f,"Means ""good gift"" in Greek, from the elements ευ (eu) ""good"" and δωρον (doron) ""gift"". This was the name of a nymph, one of the Hyades, in Greek mythology.",[Greek Mythology]
EUFÊMIA,f,form of EUPHEMIA.,[Portuguese]
EUFROZINA,f,form of EUPHROSYNE.,[Hungarian (Rare)]
EUGÈNE,m,form of Eugenius (see EUGENE).,[French]
EUGENEIA,f,feminine form of EUGENE.,[Ancient Greek]
EUGENIA,f,"Feminine form of Eugenius (see EUGENE). It was borne by a semi-legendary 3rd-century saint who escaped persecution by disguising herself as a man. The name was occasionally found in England during the Middle Ages, but it was not regularly used until the 19th century.","[Italian, Spanish, Romanian, Polish, English, Ancient Greek (Latinized)]"
EUGENIJUS,m,form of Eugenius (see EUGENE).,[Lithuanian]
EUGENIO,m,form of Eugenius (see EUGENE).,"[Italian, Spanish]"
EUGENIUS,m,form of Eugenios (see EUGENE).,[Ancient Greek (Latinized)]
EUKENE,f,form of EUGENIA.,[Basque]
EULA,f,Short form of EULALIA.,[English]
EULÀLIA,f,form of EULALIA.,[Catalan]
EULALIE,f,form of EULALIA.,[French]
EUN,m,"From Sino-Korean 恩 (eun) meaning ""kindness, mercy, charity"" or 銀 (eun) meaning ""silver, money"", as well as other hanja characters which are pronounced in the same way. It usually occurs in combination with another character, though it is sometimes used as a stand-alone name.",[Korean]
EUNIKA,f,form of EUNICE.,[Polish (Rare)]
EUN-JEONG,f,"From Sino-Korean 恩 (eun) meaning ""kindness, mercy, charity"" or 慇 (eun) meaning ""careful, anxious, attentive"" combined with 廷 (jeong) meaning ""court"" or 婷 (jeong) meaning ""pretty, graceful"". This name can be formed by other hanja character combinations as well.",[Korean]
EUN-JUNG,f,EUN-JUNG   f & m   KoreanVariant transcription of EUN-JEONG.,[Korean]
EUN-YEONG,f,"From Sino-Korean 恩 (eun) meaning ""kindness, mercy, charity"" and 英 (yeong) meaning ""flower, petal, brave, hero"". This name can be formed by other hanja character combinations as well.",[Korean]
EUPHEMIA,f,"Means ""to use words of good omen"" from Greek  () ""good"" and φημι (phemi) ""to speak, to declare"". Saint Euphemia was an early martyr from Chalcedon.","[Ancient Greek, English (Archaic)]"
EUPHRANOR,m,"Derived from Greek ευφραινω (euphraino) meaning ""to delight"". This was the name of a 4th-century BC Athenian artist.",[Ancient Greek]
EUPHRASIE,f,form of EUPHRASIA.,[French]
EUPRAXIA,f,"From a Greek word meaning ""good conduct"", derived from ευ (eu) ""good"" and πραξις (praxis) ""action, exercise"".",[Ancient Greek]
EURIG,m,"Derived from Welsh aur ""gold"".",[Welsh]
EUROPA,f,"form of Greek Ευρωπη (Europe), which meant ""wide face"" from ευρυς (eurys) ""wide"" and ωψ (ops) ""face, eye"". In Greek mythology Europa was a Phoenician princess who was abducted and taken to Crete by Zeus in the guise of a bull. She became the first queen of Crete, and later fathered Minos by Zeus. The continent of Europe is named for her. This is also the name of a moon of Jupiter.",[Greek Mythology (Latinized)]
EURWEN,f,"Derived from Welsh aur ""gold"" and gwen ""white, fair, blessed"".",[Welsh]
EURYDIKE,f,form of EURYDICE.,[Greek Mythology]
ENNIUS,m,form of ENNIO.,[Ancient Roman]
ENOCH,m,"From the Hebrew name חֲנוֹך (Chanokh) meaning ""dedicated"". In Genesis in the Old Testament this is the name of both the son of Cain and the father of Methuselah, who was the supposed author of the apocryphal Books of Enoch.","[Biblical, Biblical Latin, Biblical Greek]"
ENOLA,f,ENOLA   f   EnglishMeaning unknown. This name first appeared in the late 19th century.,[English]
ENOSH,m,"Means ""human being"" in Hebrew. He was a son of Seth and a grandson of Adam in the genealogies in Genesis in the Old Testament.","[Biblical, Biblical Hebrew]"
ENRICA,f,feminine form of HENRY.,[Italian]
ENRIQUE,m,form of HENRY.,[Spanish]
ENU,m,"Means ""fifth born child"" in Akan.","[Western African, Akan]"
ENYA,f,Anglicized form of EITHNE.,[Irish]
ENYO,f,ENYO   f   Greek MythologyMeaning unknown. She was a blood-thirsty Greek war goddess and a companion of Ares.,[Greek Mythology]
EOFORHILD,f,"Derived from the Old English elements eofor ""boar"" and hild ""battle"". This name was rarely used after the Norman conquest.",[Anglo-Saxon]
EÓGAN,m,form of EOGHAN.,"[Ancient Irish, Irish Mythology]"
EOIN,m,form of JOHN.,"[Irish, Scottish]"
ÉOWYN,f,"Means ""horse joy"" in Old English. This name was invented by J. R. R. Tolkien who used Old English to represent the Rohirric language. In his novel 'The Lord of the Rings' (1954) Eowyn is the niece of King Theoden of Rohan. She slays the Lord of the Nazgul in the Battle of the Pelennor Fields.",[Literature]
EPAPHRODITOS,m,"Means ""lovely, charming"", derived from Greek επι (epi) ""on"" combined with the name of the Greek love goddess APHRODITE.",[Ancient Greek]
EPHRAIM,m,"From the Hebrew name אֶפְרָיִם ('Efrayim) which meant ""fruitful"". In the Old Testament Ephraim is a son of Joseph and Asenath and the founder of one of the twelve tribes of Israel.","[Biblical, Hebrew, Biblical Latin, Biblical Greek]"
EPIFANIO,m,"From the Latin name Epiphanius, which was from the Greek name Επιφανιος (Epiphanios), itself derived from the Greek word επιφανεια (epiphaneia) meaning ""appearance, manifestation"". This name was borne by a few early saints. It is associated with the event known in English as the Epiphany (Spanish Epifanía, Italian Epifania, Latin Epiphania), the coming of the three Magi to visit the infant Jesus.","[Spanish, Italian]"
EPIMETHEUS,m,"Derived from Greek επιμηθεια (epimetheia) meaning ""hindsight, hindthought"". In Greek mythology he was a Titan, the brother of the god of forethought Prometheus.",[Greek Mythology]
EPIPHANIOS,m,form of EPIFANIO.,[Ancient Greek]
EPIPHANY,f,"From the name of the Christian festival (January 6) which commemorates the visit of the Magi to the infant Jesus. It is also an English word meaning ""sudden appearance"" or ""sudden perception"", ultimately deriving from Greek επιφανεια (epiphaneia) ""manifestation"".",[English (Rare)]
EPONINE,f,from a romance novel.,[Literature]
ERA,f,"Derived from Albanian erë meaning ""wind"".",[Albanian]
ERASMO,m,form of ERASMUS.,"[Italian, Spanish, Portuguese]"
ERASMUS,m,"Derived from Greek ερασμιος (erasmios) meaning ""beloved"". Saint Erasmus, also known as Saint Elmo, was a 4th-century martyr who is the patron saint of sailors. Erasmus was also the name of a Dutch scholar of the Renaissance period.",[Late Greek (Latinized)]
ERASTUS,m,"form of the Greek name Εραστος (Erastos) meaning ""beloved"". This was the name of an assistant of Paul mentioned in Acts and two epistles in the New Testament.","[Biblical, Biblical Latin]"
ERATO,f,"Means ""lovely"" in Greek. In Greek mythology she was one of the nine Muses, the muse of lyric poetry.",[Greek Mythology]
ERCAN,m,"From Turkish er ""brave man"" and can ""soul, life"".",[Turkish]
ERCILIA,f,form of HERSILIA.,[Spanish]
ERCWLFF,m,form of HERCULES.,[Welsh]
ERDENECHIMEG,f,"Means ""jewel ornament"" in Mongolian.",[Mongolian]
ERDOĞAN,m,"From Turkish er ""brave man"" and doğan ""falcon"".",[Turkish]
EREBUS,m,"form of the Greek Ερεβος (Erebos) which means ""nether darkness"". Erebus was the personification of the primordial darkness in Greek mythology.",[Greek Mythology (Latinized)]
EREN,m,"Means ""saint, holy person"" in Turkish.",[Turkish]
EREZ,m,"Means ""cedar"" in Hebrew.",[Hebrew]
ERHAN,m,"From Turkish er ""brave man"" and han, which is from the title khan meaning ""leader"".",[Turkish]
ÉRIC,m,form of ERIC.,[French]
ERIC,m,"From the Old Norse name Eiríkr, derived from the elements ei ""ever, always"" and ríkr ""ruler"". A notable bearer was Eiríkr inn Rauda (Eric the Red in English), a 10th-century navigator and explorer who discovered Greenland. This was also the name of several early kings of Sweden, Denmark and Norway.... [more]","[English, Swedish, German, Spanish]"
ERICA,f,"Feminine form of ERIC. It was first used in the 18th century. It also coincides with the Latin word for ""heather"".","[English, Swedish, Italian]"
ERICK,m,Variant of ERIC.,[English]
ÉRICO,m,form of ERIC.,[Portuguese]
ERIKA,f,"Feminine form of ERIK. It also coincides with the word for ""heather"" in some languages.","[Swedish, Norwegian, Danish, Finnish, German, Hungarian, Czech, Slovene, Croatian, English, Italian]"
ERIN,f,Anglicized form of EIREANN. It has been used as a given name since the middle of the 20th century.,"[English, Irish]"
ÉRIU,f,"From the name of an Irish goddess, who according to legend gave her name to Ireland (which is called Éire in Irish). In reality, the goddess probably got her name from that of the island, which may mean something like ""abundant land"" in Old Irish.",[Irish Mythology]
ERKAN,m,"From Turkish er ""brave man"" and kan ""blood"".",[Turkish]
ERKIN,m,form of ERKİN.,[Uyghur]
ERLAND,m,"From the Old Norse byname Erlendr, which was derived from örlendr meaning ""foreigner"".","[Swedish, Danish]"
ERLE  (1), (1),Feminine form of JARL.,[Norwegian]
ERLEA,f,"Means ""a bee"" in Basque.",[Basque]
ERLENDR,m,form of ERLAND.,[Ancient Scandinavian]
ERLING,m,"Means ""descendant of the jarl"", a derivative of the Old Norse word jarl meaning ""chieftain, nobleman, earl"".","[Swedish, Norwegian, Danish]"
ERLINGUR,m,form of ERLING.,[Icelandic]
ERMANNO,m,form of HERMAN.,[Italian]
ERMENDRUD,f,"Derived from the Germanic elements ermen ""whole, universal"" and thrud ""strength"".",[Ancient Germanic]
ERMENEGILDO,m,form of HERMENEGILDO.,[Italian]
ERMENTRUD,f,form of ERMENDRUD.,[German (Archaic)]
ERMETE,m,"Derived from Hermetis, the Latin genitive form of HERMES, the name of the Greek messenger god.",[Italian]
ERMINHILT,f,form of IRMHILD.,[Ancient Germanic]
ERMINIGILD,m,form of HERMENEGILDO.,[Ancient Germanic]
ERMINLINDA,f,form of ERMELINDA.,[Ancient Germanic]
ERMIS,m,form of HERMES.,[Greek]
ERMOLAI,m,ERMOLAI   m   RussianVariant transcription of YERMOLAI.,[Russian]
ERNA  (1), (1),Feminine form of ERNEST.,"[German, Dutch, Danish, Norwegian, Swedish]"
ERNEST,m,"Derived from Germanic eornost meaning ""serious"". It was introduced to England by the German House of Hanover when they inherited the British throne in the 18th century, though it did not become common until the following century. The American author and adventurer Ernest Hemingway (1899-1961) was a famous bearer of the name. It was also used by Oscar Wilde for a character in his comedy 'The Importance of Being Earnest' (1895).","[English, French, Slovene, Polish]"
ERNESTAS,m,form of ERNEST.,[Lithuanian]
ERNESTINE,f,Feminine form of ERNEST.,"[French, German, English]"
ERNIE,m,ERNIE   m   EnglishDiminutive of ERNEST.,[English]
ERNŐ,m,form of ERNEST.,[Hungarian]
ERNUST,m,form of ERNEST.,[Ancient Germanic]
EROS,m,"Means ""love"" in Greek. In Greek mythology he was a young god, the son of Aphrodite, who was armed with arrows that caused the victim to fall in love.",[Greek Mythology]
ERROL,m,From a surname which was originally derived from a Scottish place name. It was popularized as a given name by the Australian actor Errol Flynn (1909-1959).,[English]
ERSKINE,m,"From a surname which was originally derived from the name of a Scottish town meaning ""projecting height"" in Gaelic. A famous bearer of the name was the Irish novelist and nationalist Erskine Childers (1870-1922).","[Scottish, Irish, English (Rare)]"
ERVĪNS,m,form of ERWIN.,[Latvian]
ERWANN,m,Variant of ERWAN.,[Breton]
ERYK,m,form of ERIC.,[Polish]
ERYN,f,Variant of ERIN.,[English (Modern)]
ERZSI,f,ERZSI   f   HungarianDiminutive of ERZSÉBET.,[Hungarian]
ESAIAS,m,Form of ISAIAH used in the Greek and Latin Old Testament.,"[Biblical Greek, Biblical Latin]"
'ESAW,m,form of ESAU.,[Biblical Hebrew]
ESBJÖRN,m,form of ÁSBJÖRN.,[Swedish]
ESE,m,form of ANSO.,[Frisian]
ESEN,f,"Means ""the wind"" in Turkish.",[Turkish]
ESER,f,"Means ""product, achievement"" in Turkish.",[Turkish]
ESHA,f,"Means ""desire, wish"" in Sanskrit.","[Indian, Hindi]"
ESI,f,"Means ""born on Sunday"" in Akan.","[Western African, Akan]"
ESKANDAR,m,form of ALEXANDER.,[Persian]
ESMA,f,form of ASMA.,"[Turkish, Bosnian]"
ESMARALDA,f,Variant of ESMERALDA.,[English (Rare)]
